timestamp	skill	old_score	new_score	status	dimension	note	eval_mode
2026-06-13	style-analysis-framework	78	92	keep	workflow	增加文体路由、证据等级、事实门槛、输出契约与测试	dry_run
2026-06-13	style-akutagawa	76	87	keep	boundaries	将4篇样本结论与作者总体区分，取消标点和句长硬指标	dry_run
2026-06-13	style-dazai	82	90	keep	workflow	增加体裁路由、自伤不美化、灵活输出与测试	dry_run
2026-06-13	style-dostoevsky	73	88	keep	evidence	修正语料规模，区分译文影响，软化绝对反规则	dry_run
2026-06-13	style-fitzgerald	77	88	keep	evidence	明确盖茨比作品级范围，增加原创符号与现代语境规则	dry_run
2026-06-13	style-gorky	78	89	keep	boundaries	区分译文影响，避免苦难工具化和人物扁平化	dry_run
2026-06-13	style-kafka	88	93	keep	workflow	规范frontmatter，强化原创困境逻辑与自然中文适配	dry_run
2026-06-13	style-luxun	80	90	keep	boundaries	按体裁路由，取消文言和群体批判的机械要求	dry_run
2026-06-13	style-nanfang-zhoumo	77	91	keep	accuracy	增加栏目边界、事实表和采访引语不可编造规则	dry_run
2026-06-13	style-renmin-ribao	69	87	keep	evidence	移除外部品牌混入，增加政策与权威引语核验	dry_run
2026-06-13	style-schopenhauer	84	92	keep	accuracy	区分德文与译文证据，禁止伪造权威和古典引语	dry_run
2026-06-13	style-soseki	86	92	keep	workflow	规范frontmatter，增加作品模式路由和灵活输出	dry_run
2026-06-13	style-tanizaki	65	84	keep	data_quality	标记语料乱码和统计暂定，取消比例配额并增加主体性边界	dry_run
2026-06-13	style-thepaper	72	89	keep	accuracy	增加栏目边界、多源材料核验和不冒充规则	dry_run
2026-06-13	style-tolstoy	83	92	keep	evidence	显式区分译者特征，按篇幅缩放叙事方法	dry_run
2026-06-13	style-xiaoyuehan-kehan	62	85	keep	originality	承认3篇样本不足，移除复用个人梗与通辽体系要求	dry_run
2026-06-13	style-xinhua	74	91	keep	accuracy	增加文体路由，禁止补造小数、电头、署名和权威引语	dry_run
